club_name,canonical_name,league_name,city,state,source_url
Skip to main content,Skip To Main Content,Vermont Soccer Association,,Vermont,https://www.vermontsoccer.org
Skip to primary navigation,Skip To Primary Navigation,Vermont Soccer Association,,Vermont,https://www.vermontsoccer.org
Facebook,Facebook,Vermont Soccer Association,,Vermont,https://www.vermontsoccer.org
Twitter,Twitter,Vermont Soccer Association,,Vermont,https://www.vermontsoccer.org
Instagram,Instagram,Vermont Soccer Association,,Vermont,https://www.vermontsoccer.org
YouTube,Youtube,Vermont Soccer Association,,Vermont,https://www.vermontsoccer.org
