club_name,canonical_name,league_name,city,state,source_url
Skip to main content,Skip To Main Content,Alabama Soccer Association,,Alabama,https://www.alsoccer.org
Skip to primary navigation,Skip To Primary Navigation,Alabama Soccer Association,,Alabama,https://www.alsoccer.org
Facebook,Facebook,Alabama Soccer Association,,Alabama,https://www.alsoccer.org
Twitter,Twitter,Alabama Soccer Association,,Alabama,https://www.alsoccer.org
Instagram,Instagram,Alabama Soccer Association,,Alabama,https://www.alsoccer.org
