club_name,canonical_name,league_name,city,state,source_url
Health &Safety,Health &Safety,NPL,,,https://usclubsoccer.org/npl/
RegistrationSystem,Registrationsystem,NPL,,,https://usclubsoccer.org/npl/
Programs,Programs,NPL,,,https://usclubsoccer.org/npl/
Leagues,Leagues,NPL,,,https://usclubsoccer.org/npl/
NPL,Npl,NPL,,,https://usclubsoccer.org/npl/
