club_name,canonical_name,league_name,city,state,source_url
Casper SC,Casper,Wyoming Soccer Association,,Wyoming,https://system.gotsport.com/org_event/events/48304/clubs
Cheyenne Soccer Club,Cheyenne,Wyoming Soccer Association,,Wyoming,https://system.gotsport.com/org_event/events/48304/clubs
Gillette Edge SC,Gillette Edge,Wyoming Soccer Association,,Wyoming,https://system.gotsport.com/org_event/events/48304/clubs
GREEN RIVER SPURS,Green River Spurs,Wyoming Soccer Association,,Wyoming,https://system.gotsport.com/org_event/events/48304/clubs
Jackson Hole Youth Soccer,Jackson Hole,Wyoming Soccer Association,,Wyoming,https://system.gotsport.com/org_event/events/48304/clubs
Johnson County Soccer,Johnson County,Wyoming Soccer Association,,Wyoming,https://system.gotsport.com/org_event/events/48304/clubs
Lander Valley Youth Soccer,Lander Valley,Wyoming Soccer Association,,Wyoming,https://system.gotsport.com/org_event/events/48304/clubs
Sheridan County Soccer Association,Sheridan County Association,Wyoming Soccer Association,,Wyoming,https://system.gotsport.com/org_event/events/48304/clubs
Yellowstone Fire Soccer Assoc,Yellowstone Fire Assoc,Wyoming Soccer Association,,Wyoming,https://system.gotsport.com/org_event/events/48304/clubs
