club_name,canonical_name,league_name,city,state,source_url,source_type,website
Houston Rangers,Houston Rangers,MLS NEXT,Houston,TX,https://www.mlsnextsoccer.com/clubs,,
IdeaSport Soccer Academy,Ideasport Academy,MLS NEXT,Kissimmee,FL,https://www.mlsnextsoccer.com/clubs,,
Idea Toros Futbol Academy,Idea Toros Futbol Academy,MLS NEXT,Edinburg,TX,https://www.mlsnextsoccer.com/clubs,,
IMG Academy,Img Academy,MLS NEXT,Bradenton,FL,https://www.mlsnextsoccer.com/clubs,,
Indiana Fire Academy,Indiana Fire Academy,MLS NEXT,Carmel,IN,https://www.mlsnextsoccer.com/clubs,,
Inter Atlanta FC,Inter Atlanta,MLS NEXT,Atlanta,GA,https://www.mlsnextsoccer.com/clubs,,
Inter Miami CF Academy,Inter Miami Academy,MLS NEXT,Fort Lauderdale,FL,https://www.mlsnextsoccer.com/clubs,,
IFA of New England,Ifa Of New England,MLS NEXT,Newton,MA,https://www.mlsnextsoccer.com/clubs,,
Internationals,Internationals,MLS NEXT,North Royalton,OH,https://www.mlsnextsoccer.com/clubs,,
Ironbound SC,Ironbound,MLS NEXT,Newark,NJ,https://www.mlsnextsoccer.com/clubs,,
Kalonji SA,Kalonji Sa,MLS NEXT,Norcross,GA,https://www.mlsnextsoccer.com/clubs,,
Keystone FC,Keystone,MLS NEXT,Mechanicsburg,PA,https://www.mlsnextsoccer.com/clubs,,
Kings Hammer Soccer Club,Kings Hammer,MLS NEXT,Covington,KY,https://www.mlsnextsoccer.com/clubs,,
Jacksonville FC,Jacksonville,MLS NEXT,Jacksonville,FL,https://www.mlsnextsoccer.com/clubs,,
Javanon FC,Javanon,MLS NEXT,Louisville,KY,https://www.mlsnextsoccer.com/clubs,,
LA United Futbol Academy,La Futbol Academy,MLS NEXT,Los Angeles,CA,https://www.mlsnextsoccer.com/clubs,,
LA Galaxy Academy,La Galaxy Academy,MLS NEXT,Carson,CA,https://www.mlsnextsoccer.com/clubs,,
LA Surf,La Surf,MLS NEXT,La Canada Flintridge,CA,https://www.mlsnextsoccer.com/clubs,,
Lamorinda FC,Lamorinda,MLS NEXT,Moraga,CA,https://www.mlsnextsoccer.com/clubs,,
Lanier SC,Lanier,MLS NEXT,Atlanta,GA,https://www.mlsnextsoccer.com/clubs,,
Las Vegas SA,Las Vegas Sa,MLS NEXT,Las Vegas,NV,https://www.mlsnextsoccer.com/clubs,,
Lexington SC Academy,Lexington Academy,MLS NEXT,Lexington,KY,https://www.mlsnextsoccer.com/clubs,,
Long Island Soccer Club,Long Island,MLS NEXT,Uniondale,NY,https://www.mlsnextsoccer.com/clubs,,
Los Angeles Bulls SC,Los Angeles Bulls,MLS NEXT,Pacific Palisades,CA,https://www.mlsnextsoccer.com/clubs,,
Los Angeles FC Academy,Los Angeles Academy,MLS NEXT,Los Angeles,CA,https://www.mlsnextsoccer.com/clubs,,
Los Angeles Soccer Club,Los Angeles,MLS NEXT,West Covina,CA,https://www.mlsnextsoccer.com/clubs,,
Lou Fusz Athletic,Lou Fusz Athletic,MLS NEXT,Earth City,MO,https://www.mlsnextsoccer.com/clubs,,
Louisiana TDP Elite,Louisiana Tdp Elite,MLS NEXT,Baton Rouge,LA,https://www.mlsnextsoccer.com/clubs,,
Metropolitan Oval,Metropolitan Oval,MLS NEXT,Queens,NY,https://www.mlsnextsoccer.com/clubs,,
Miami Rush-Kendall SC,Miami Rush-Kendall,MLS NEXT,Miami,FL,https://www.mlsnextsoccer.com/clubs,,
Michigan Jaguars,Michigan Jaguars,MLS NEXT,Novi,MI,https://www.mlsnextsoccer.com/clubs,,
Michigan Wolves,Michigan Wolves,MLS NEXT,Farmington Hills,MI,https://www.mlsnextsoccer.com/clubs,,
Midwest United FC,Midwest,MLS NEXT,Kentwood,MI,https://www.mlsnextsoccer.com/clubs,,
Minnesota United FC,Minnesota,MLS NEXT,Minneapolis,MN,https://www.mlsnextsoccer.com/clubs,,
Modesto Ajax United,Modesto Ajax,MLS NEXT,Modesto,CA,https://www.mlsnextsoccer.com/clubs,,
Murrieta Soccer Academy,Murrieta Academy,MLS NEXT,Murrieta,CA,https://www.mlsnextsoccer.com/clubs,,
Napa United,Napa,MLS NEXT,Napa,CA,https://www.mlsnextsoccer.com/clubs,,
Nashville SC Academy,Nashville Academy,MLS NEXT,Nashville,TN,https://www.mlsnextsoccer.com/clubs,,
Nashville United,Nashville,MLS NEXT,Brentwood,TN,https://www.mlsnextsoccer.com/clubs,,
NEFC,Nefc,MLS NEXT,Mendon,MA,https://www.mlsnextsoccer.com/clubs,,
New England Revolution Academy,New England Revolution Academy,MLS NEXT,Foxborough,MA,https://www.mlsnextsoccer.com/clubs,,
NYCFC Academy,Nycfc Academy,MLS NEXT,Orangeburg,NY,https://www.mlsnextsoccer.com/clubs,,
New York Red Bulls Academy,New York Red Bulls Academy,MLS NEXT,Whippany,NJ,https://www.mlsnextsoccer.com/clubs,,
New York SC,New York,MLS NEXT,Purchase,NY,https://www.mlsnextsoccer.com/clubs,,
Nomads,Nomads,MLS NEXT,San Diego,CA,https://www.mlsnextsoccer.com/clubs,,
Oakwood SC,Oakwood,MLS NEXT,Glastonbury,CT,https://www.mlsnextsoccer.com/clubs,,
Orlando City SC Academy,Orlando Academy,MLS NEXT,Orlando,FL,https://www.mlsnextsoccer.com/clubs,,
Orlando City Soccer School South,Orlando School South,MLS NEXT,Kissimmee,FL,https://www.mlsnextsoccer.com/clubs,,
Orlando City Soccer School - Seminole,Orlando School - Seminole,MLS NEXT,Sanford,FL,https://www.mlsnextsoccer.com/clubs,,
PA Classics,Pa Classics,MLS NEXT,Manheim,PA,https://www.mlsnextsoccer.com/clubs,,
Philadelphia Union Academy,Philadelphia Union Academy,MLS NEXT,Wayne,PA,https://www.mlsnextsoccer.com/clubs,,
Phoenix Rising FC,Phoenix Rising,MLS NEXT,Phoenix,AZ,https://www.mlsnextsoccer.com/clubs,,
Players Development Academy,Players Development Academy,MLS NEXT,Somerset,NJ,https://www.mlsnextsoccer.com/clubs,,
Portland Timbers Academy,Portland Timbers Academy,MLS NEXT,Portland,OR,https://www.mlsnextsoccer.com/clubs,,
Queen City Mutiny,Queen Mutiny,MLS NEXT,Charlotte,NC,https://www.mlsnextsoccer.com/clubs,,
Real Colorado,Real Colorado,MLS NEXT,Centennial,CO,https://www.mlsnextsoccer.com/clubs,,
Real Jersey FC,Real Jersey,MLS NEXT,Medford,NJ,https://www.mlsnextsoccer.com/clubs,,
Real Salt Lake Academy,Real Salt Lake Academy,MLS NEXT,Herriman,UT,https://www.mlsnextsoccer.com/clubs,,
RSL Arizona,Rsl Arizona,MLS NEXT,Tempe,AZ,https://www.mlsnextsoccer.com/clubs,,
RSL Arizona - Mesa,Rsl Arizona - Mesa,MLS NEXT,Mesa,AZ,https://www.mlsnextsoccer.com/clubs,,
Sacramento Republic FC,Sacramento Republic,MLS NEXT,Sacramento,CA,https://www.mlsnextsoccer.com/clubs,,
Sacramento United,Sacramento,MLS NEXT,Sacramento,CA,https://www.mlsnextsoccer.com/clubs,,
