club_name,canonical_name,league_name,city,state,source_url
Skip to main content,Skip To Main Content,Iowa Soccer Association,,Iowa,https://www.iowasoccer.org
Skip to primary navigation,Skip To Primary Navigation,Iowa Soccer Association,,Iowa,https://www.iowasoccer.org
Facebook,Facebook,Iowa Soccer Association,,Iowa,https://www.iowasoccer.org
Instagram,Instagram,Iowa Soccer Association,,Iowa,https://www.iowasoccer.org
LinkedIn,Linkedin,Iowa Soccer Association,,Iowa,https://www.iowasoccer.org
