club_name,canonical_name,league_name,city,state,source_url
Skip to main content,Skip To Main Content,New York State West Youth Soccer Association,,New York West,https://www.nyswysa.org
Skip to primary navigation,Skip To Primary Navigation,New York State West Youth Soccer Association,,New York West,https://www.nyswysa.org
Facebook,Facebook,New York State West Youth Soccer Association,,New York West,https://www.nyswysa.org
Twitter,Twitter,New York State West Youth Soccer Association,,New York West,https://www.nyswysa.org
Instagram,Instagram,New York State West Youth Soccer Association,,New York West,https://www.nyswysa.org
YouTube,Youtube,New York State West Youth Soccer Association,,New York West,https://www.nyswysa.org
