club_name,canonical_name,league_name,city,state,source_url
Capital FC,Capital,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Central Coast Soccer Association,Central Coast Association,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Dallas United Soccer Club,Dallas,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Eugene Metros FC,Eugene Metros,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Mid Valley Soccer Club,Mid Valley,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
North Marion Youth Athletics,North Marion Athletics,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Oregon Valley Futbol Alliance,Oregon Valley Futbol Alliance,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Pelada Football Academy,Pelada Football Academy,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Silver Falls Soccer Club,Silver Falls,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Siuslaw Youth Soccer Association,Siuslaw Association,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
WHK Soccer Club,Whk,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
WOODBURN FC,Woodburn,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Apex FC,Apex,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Bend FC,Bend,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Union County Youth Soccer Association,Union County Association,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Eastside Timbers and Thorns FC,Eastside Timbers And Thorns,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
FC Piamonte,Piamonte,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
La Amistad Soccer Club,La Amistad,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Northwest United Soccer Academy,Northwest Academy,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Reynolds Youth Soccer Club,Reynolds,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Valley Premier FC,Valley Premier,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Foothills Soccer Club,Foothills,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Lincoln Youth Soccer,Lincoln,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Portland City United Soccer Club,Portland,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Portland Community FC,Portland Community,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Portland Youth Soccer Association,Portland Association,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Saints Soccer Academy,Saints Academy,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Soccer Chance Academy,Chance Academy,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Southeast Soccer Club,Southeast,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
United PDX,Pdx,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
ADF Portland​,Adf Portland​,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Albion SC Portland,Albion Portland,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Lake Oswego Soccer Club,Lake Oswego,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Oregon Premier FC,Oregon Premier,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Sherwood Youth Soccer Club,Sherwood,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Tualatin Soccer Club,Tualatin,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Willamette United Football Club,Willamette Football,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Ashland Soccer Club,Ashland,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Basin United Soccer Club,Basin,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Central Valley Futbol Club,Central Valley Futbol,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Coast to Coast Futbol Academy,Coast To Coast Futbol Academy,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Illinois Valley Youth Soccer League,Illinois Valley League,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Oregon Futbol Academy,Oregon Futbol Academy,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Rogue River Soccer Club,Rogue River,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Rogue United FC,Rogue,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Rogue Valley Timbers,Rogue Valley Timbers,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Southern Oregon Soccer Academy​,Southern Oregon Academy​,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Umpqua United Soccer Club,Umpqua,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Wild Rivers Soccer Club,Wild Rivers,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Aloha United Soccer Club,Aloha,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Milltown United Soccer Club,Milltown,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Oak Hills Soccer Club,Oak Hills,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Oregon Surf,Oregon Surf,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Somerset West Soccer Club,Somerset West,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Westside Metros FC,Westside Metros,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Westside Soccer Club,Westside,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Banks Youth Soccer Association​,Banks Association​,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Bridge City Soccer Academy,Bridge Academy,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Chehalem Valley Soccer Club,Chehalem Valley,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Columbia County United – Scappoose,Columbia County – Scappoose,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
FC Portland Soccer Academy,Portland Academy,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
FC West Soccer,West,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Hillsboro Rush,Hillsboro Rush,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Lower Columbia Youth Soccer Association,Lower Columbia Association,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
McMinnville Soccer Club,Mcminnville,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Oregon Coast FC,Oregon Coast,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Rainier/Clatskanie Youth Soccer Association,Rainier/Clatskanie Association,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
Santos Football Club,Santos Football,Oregon Youth Soccer Association,,Oregon,https://www.oregonyouthsoccer.org/find-a-club/
