soccerwire_name,canonical_name,best_match_in_master,best_match_score,classification,city,soccerwire_url
South Carolina United FC,South Carolina,Lowcountry,33.333333333333336,NET_NEW,Columbia,https://www.soccerwire.com/club/south-carolina-united/
South Carolina Surf,South Carolina Surf,Lowcountry,34.48275862068966,NET_NEW,Charleston,https://www.soccerwire.com/club/south-carolina-surf/
