soccerwire_name,canonical_name,best_match_in_master,best_match_score,classification,city,soccerwire_url
Mississippi Rush,Mississippi Rush,South Mississippi,84.84848484848484,NEAR_MATCH,Madison,https://www.soccerwire.com/club/mississippi-rush/
Mississippi Rush United,Mississippi Rush,South Mississippi,84.84848484848484,NEAR_MATCH,Jackson,https://www.soccerwire.com/club/mississippi-rush-united/
Tupelo FC,Tupelo,Pearl League,33.333333333333336,NET_NEW,Tupelo,https://www.soccerwire.com/club/tupelo-fc/
