soccerwire_name,canonical_name,best_match_in_master,best_match_score,classification,city,soccerwire_url
FC Wisconsin,Wisconsin,Bavarian,23.529411764705888,NET_NEW,Germantown,https://www.soccerwire.com/club/fc-wisconsin/
FC Wisconsin Eclipse,Wisconsin Eclipse,Bavarian,16.000000000000004,NET_NEW,Madison,https://www.soccerwire.com/club/fc-wisconsin-eclipse/
Madison 56ers,Madison 56Ers,Bavarian,28.57142857142857,NET_NEW,Madison,https://www.soccerwire.com/club/madison-56ers/
Waukesha SC,Waukesha,Bavarian,25.0,NET_NEW,Waukesha,https://www.soccerwire.com/club/waukesha-sc/
Rush Wisconsin,Rush Wisconsin,North Shore,24.0,NET_NEW,,https://www.soccerwire.com/club/rush-wisconsin/
