club_id,club_name_official,club_name_scraped,address_line1,city,state,zip,event_id,league_name,api_url
4009,Sporting Columbus,Sporting Columbus,268 S Cassady Avenue,Columbus,Ohio,43209,3939,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3939/4009/12
4087,Cincinnati Elite FC,Cincinnati Elite FC,11978 Streamside Drive,Cincinnati,Ohio,45140,3939,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3939/4087/12
5124,Elite FC,Elite FC,7250 Watkins Drive,Ostrander,Ohio,43061,3939,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3939/5124/12
3075,Pacesetter Soccer Club,Pacesetter Soccer Club,"6616 Monroe Street, Suite 5",Sylvania,Ohio,43560,3939,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3939/3075/12
4575,North FC,North FC,32258 Woodfield Drive,Avon Lake,Ohio,44012,3939,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3939/4575/12
4458,Manta United Soccer Club,Manta,10701 Rovalton RD,North Rovalton,Ohio,44133,3939,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3939/4458/12
343,WNY Flash,WNY Flash Rochester,6831 Seneca Street,Elma,New York,14059,3939,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3939/343/12
4563,Steel City FC,Steel City FC,5272 Carnegie St.,Pittsburgh,Pennsylvania,15201,3939,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3939/4563/12
4578,Canton Force,CAU Force,11311 Villa Grande Dr,North Royalton,Ohio,44133,3939,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3939/4578/12
4075,Columbus Force SC,Columbus Force,409 Orangepoint Dr.,Lewis Center,Ohio,43035,3939,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3939/4075/12
3406,Portland Thorns Academy,Portland Thorns,9784 SW 173rd Avenue,Beaverton,Oregon,97007,3949,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3949/3406/12
1939,Northern Steel Select Soccer,Northern Steel Select,231 Beacon Rd.,Renfrew,Pennsylvania,16053,3939,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3939/1939/12
1643,Seattle United,Seattle United,301 NE 100th St. #102,Seattle,Washington,98125,3949,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3949/1643/12
2522,Snohomish United,Snohomish United,27 Pine Ave.,Snohomish,Washington,98290,3949,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3949/2522/12
2229,Three Rivers Soccer Club,3RSC,5240 Outlet Drive,Pasco,Washington,99301,3949,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3949/2229/12
2331,Pacific Northwest SC,PacNW SC,"100 Andover Pk W,Suite 150 - Box 187",Tukwila,Washington,98188,3949,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3949/2331/12
398,Eastside FC,Eastside FC,8158 304th Ave. SE,Issaquah,Washington,98027,3949,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3949/398/12
737,Oregon Surf,Oregon Surf,"8375 SW Beaverton-Hillsdale Hwy, Suite 100",Portland,Oregon,97225,3949,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3949/737/12
4333,Central Washington Sounders,Central Washington,P.O. Box 1352,Selah,Washington,98942,3949,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3949/4333/12
112,Washington Premier,Washington Premier,"1416 East Main, Suite C",Puyallup,Washington,98372,3949,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3949/112/12
4551,Northwest United FC,Northwest United FC,PO Box 2120,Mount Vernon,Washington,98273,3949,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3949/4551/12
343,WNY Flash,WNY Flash,6831 Seneca Street,Elma,New York,14059,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/343/12
3478,Cleveland Force SC,Cleveland Force SC,26555 Richmond Road,Bedford Heights,Ohio,44146,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/3478/12
58,Internationals SC,Internationals SC,313 Medina Road,Medina,Ohio,44256,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/58/12
538,Pittsburgh Riverhounds,Pittsburgh Riverhounds,510 West Station Square Drive,Pittsburgh,Pennsylvania,15219,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/538/12
4008,GTFC Impact,GTFC Impact,215 W. 7th St.,Perrysburg,Ohio,43551,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/4008/12
4038,NWI Lions United,NWI Lions United,PO Box 1252,Crown Point,Indiana,46308,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/4038/12
2554,Eastside Timbers,Eastside Timbers,12402 SE Jennifer St #190,Clackamas,Oregon,97015,3949,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3949/2554/12
437,Ohio Premier,Ohio Premier,PO Box 56,Dublin,Ohio,43017,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/437/12
2257,Indiana Elite FC,Indiana Elite FC,10971 Four Seasons Pl Suite 207,Crown Point,Indiana,46307,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/2257/12
3650,Mercury,Mercury,5345 Hagewa Dr,Cincinnati,Ohio,45242,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/3650/12
4006,Ohio Galaxies FC,Ohio Galaxies FC,P.O. Box 72,Alpha,Ohio,45301-0072,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/4006/12
4864,Lexington Sporting Club,Lexington Sporting Club,810 Bull Lea Run,Lexington,Kentucky,40511,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/4864/12
1354,Tennessee Soccer Club,Tennessee SC,113 Seaboard Lane. Suite C110,Franklin,Tennessee,37067,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/1354/12
75,Ohio Elite SA,Ohio Elite SA,256 East Sharon Road,Cincinnati,Ohio,45246,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/75/12
436,Indy Eleven Academy,Indy Eleven Academy,PO Box 346,Westfield,Indiana,46074,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/436/12
1501,FC Pride,FC Pride Elite,11960 E 62nd Street,Indianapolis,Indiana,46235,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/1501/12
3408,Racing Louisville Academy,Racing Louisville Academy,801 Edith Rd.,Louisville,Kentucky,40206,3951,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3951/3408/12
61,Legends FC,Legends FC,"5555 Hamner Ave, Norco, CA 92680",Eastvale,California,92880,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/61/12
98,So Cal Blues SC,So Cal Blues,"26081 Merit Circle, Suite 118",Laguna Hills,California,92653,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/98/12
16,Beach FC  (CA),Beach FC (CA),PO Box 10098,Torrance,California,90505,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/16/12
186,Pateadores,Pateadores,151 Kalmus Dr. Suite F-5,Costa Mesa,California,92626,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/186/12
300,Rebels SC,Rebels SC,PO BOX 212649,Chula Vista,California,91921,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/300/12
96,SLAMMERS FC,SLAMMERS FC,2618 San Miguel Dr #120,Newport Beach,California,92626,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/96/12
1656,Slammers FC HB Koge,Slammers FC HB Koge,"245 Fischer Avenue, Unit C2",Costa Mesa,California,92626,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/1656/12
82,LAFC So Cal,LAFC So Cal,6430 Variel Ave. Suite #103,Woodland Hills,California,91367,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/82/12
57,Las Vegas Heat Surf SC,LV Heat Surf,149 N Gibson Rd suite i,Henderson,Nevada,89014,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/57/12
592,AZ Arsenal,Arizona Arsenal,2320 East Baseline Rd Suite 148-497,Phoenix,Arizona,85042,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/592/12
13,Sporting CA USA,Sporting CA USA,350 S. Milliken Ave. Suite J,Ontario,California,91761,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/13/12
1141,Phoenix Rising FC,Phoenix Rising,9035 East Pima Center Parkway Suite 10,Scottsdale,Arizona,85258,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/1141/12
41,Eagles Soccer Club,Eagles SC,7261 Los Coyotes Place,Camarillo,California,93012,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/41/12
39,Legends FC SD (DMCV),Legends FC San Diego,10505 Sorrento Valley Rd Ste.150,San Diego,California,92121,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/39/12
2289,LA Breakers FC,LA Breakers FC,"12100 WILSHIRE BLVD, 8TH FLOOR",Los Angeles,California,90025,3954,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3954/2289/12
47,FC Dallas Youth,FC Dallas,"9200 World Cup Way, Ste 202",Dallas,Texas,75033,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/47/12
62,Lonestar Soccer Club,Lonestar Soccer Club Red,12325 Hymeadow Dr #1-200,Austin,Texas,78750,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/62/12
